action, timestamp

addDrink,2023-06-04 23:40:08.567
getDrinks,2023-06-04 23:40:11.598
getDrinks,2023-06-04 23:41:04.093
updateDrink,2023-06-04 23:41:19.628
getDrinks,2023-06-04 23:41:22.765
deleteDrink,2023-06-04 23:41:31.033
getDrinks,2023-06-04 23:41:32.94
getClients,2023-06-04 23:46:40.646
addClient,2023-06-04 23:47:14.756
getClients,2023-06-04 23:47:17.06
updateClientEmail,2023-06-04 23:47:35.789
getClients,2023-06-04 23:47:38.02
updateClientPoints,2023-06-04 23:47:50.94
getClients,2023-06-04 23:47:53.109
getDrivers,2023-06-04 23:47:57.621
deleteClient,2023-06-04 23:48:11.913
getClients,2023-06-04 23:48:13.892
getFoods,2023-06-04 23:48:50.7
addFood,2023-06-04 23:49:05.965
getFoods,2023-06-04 23:49:09.212
updateFood,2023-06-04 23:49:26.969
deleteFood,2023-06-04 23:49:43.205
getDrinks,2023-06-04 23:49:50.958
getDrivers,2023-06-04 23:50:04.133
addDrink,2023-06-04 23:50:43.978
getDrivers,2023-06-04 23:50:53.132
updateDriverPhoneNumber,2023-06-04 23:51:15.985
updateDriverSalary,2023-06-04 23:51:34.687
getDrivers,2023-06-04 23:51:55.838
updateDriverSalary,2023-06-04 23:52:12.268
deleteDriver,2023-06-04 23:52:51.097
getFoods,2023-06-04 23:59:12.933
getDrivers,2023-06-04 23:59:20.168
addFood,2023-06-04 23:59:47.152
getFoods,2023-06-04 23:59:49.679
getClients,2024-05-27 21:53:31.129
addClient,2024-05-27 21:55:18.535
getClients,2024-05-27 21:56:11.025
getDrivers,2024-05-27 21:56:26.55
addDrink,2024-05-27 21:58:21.508
getDrivers,2024-05-27 21:59:33.481
addDrink,2024-05-27 22:00:41.686
getDrinks,2024-05-27 22:00:55.331
getFoods,2024-05-27 22:02:13.443
getClients,2024-05-27 22:05:30.763
getFoods,2024-05-27 22:05:35.736
addFood,2024-05-27 22:05:57.407
getFoods,2024-05-27 22:06:02.186
getClients,2024-05-27 22:06:44.323
getFoods,2024-05-27 22:06:48.152
getFoods,2024-05-27 22:07:18.494
getFoods,2024-05-27 22:07:20.184
getFoods,2024-05-27 22:08:19.66
getFoods,2024-05-27 22:09:40.167
getDrinks,2024-05-27 22:09:47.034
getFoods,2024-05-27 22:11:17.609
getFoods,2024-05-27 22:11:53.967
updateClientPoints,2024-05-27 22:15:18.703
getClients,2024-05-27 22:15:26.907
